"","Site","Depth","Latitude","Longitude"
"1_1D","Llewellyn","5",-23.70585,152.15565
"1_1S","Llewellyn","Surface",-23.70585,152.15565
"1_2D","Llewellyn","5",-23.70585,152.15565
"1_2S","Llewellyn","Surface",-23.70585,152.15565
"1_3D","Llewellyn","5",-23.70585,152.15565
"1_3S","Llewellyn","Surface",-23.70585,152.15565
"1_4D","Llewellyn","5",-23.70585,152.15565
"1_4S","Llewellyn","Surface",-23.70585,152.15565
"10_1D","Fairfax","10",-23.86095,152.3619667
"10_1S","Fairfax","Surface",-23.86095,152.3619667
"10_2D","Fairfax","10",-23.86095,152.3619667
"10_2S","Fairfax","Surface",-23.86095,152.3619667
"10_3D","Fairfax","10",-23.86095,152.3619667
"10_3S","Fairfax","Surface",-23.86095,152.3619667
"10_4S","Fairfax","Surface",-23.86095,152.3619667
"11_1D","Fairfax","20",-23.85763333,152.3612667
"11_1S","Fairfax","Surface",-23.85763333,152.3612667
"11_2D","Fairfax","20",-23.85763333,152.3612667
"11_2S","Fairfax","Surface",-23.85763333,152.3612667
"11_3D","Fairfax","20",-23.85763333,152.3612667
"11_4D","Fairfax","20",-23.85763333,152.3612667
"11_4S","Fairfax","Surface",-23.85763333,152.3612667
"2_1D","Llewellyn","10",-23.70666667,152.1564667
"2_1S","Llewellyn","Surface",-23.70666667,152.1564667
"2_2D","Llewellyn","10",-23.70666667,152.1564667
"2_2S","Llewellyn","Surface",-23.70666667,152.1564667
"2_3D","Llewellyn","10",-23.70666667,152.1564667
"2_3S","Llewellyn","Surface",-23.70666667,152.1564667
"2_4D","Llewellyn","10",-23.70666667,152.1564667
"2_4S","Llewellyn","Surface",-23.70666667,152.1564667
"3_1D","Llewellyn","18",-23.709,152.1570667
"3_1S","Llewellyn","Surface",-23.709,152.1570667
"3_2D","Llewellyn","18",-23.709,152.1570667
"3_2S","Llewellyn","Surface",-23.709,152.1570667
"3_3D","Llewellyn","18",-23.709,152.1570667
"3_3S","Llewellyn","Surface",-23.709,152.1570667
"3_4D","Llewellyn","18",-23.709,152.1570667
"3_4S","Llewellyn","Surface",-23.709,152.1570667
"4_1D","Hoskin","3",-23.81066667,152.2838667
"4_1S","Hoskin","Surface",-23.81066667,152.2838667
"4_2D","Hoskin","3",-23.81066667,152.2838667
"4_2S","Hoskin","Surface",-23.81066667,152.2838667
"4_3D","Hoskin","3",-23.81066667,152.2838667
"4_3S","Hoskin","Surface",-23.81066667,152.2838667
"4_4D","Hoskin","3",-23.81066667,152.2838667
"4_4S","Hoskin","Surface",-23.81066667,152.2838667
"5_1D","Hoskin","10",-23.81208333,152.28275
"5_1S","Hoskin","Surface",-23.81208333,152.28275
"5_2D","Hoskin","10",-23.81208333,152.28275
"5_2S","Hoskin","Surface",-23.81208333,152.28275
"5_3D","Hoskin","10",-23.81208333,152.28275
"5_3S","Hoskin","Surface",-23.81208333,152.28275
"5_4D","Hoskin","10",-23.81208333,152.28275
"5_4S","Hoskin","Surface",-23.81208333,152.28275
"6_1D","Hoskin","20",-23.81511667,152.2813833
"6_1S","Hoskin","Surface",-23.81511667,152.2813833
"6_2D","Hoskin","20",-23.81511667,152.2813833
"6_2S","Hoskin","Surface",-23.81511667,152.2813833
"6_3D","Hoskin","20",-23.81511667,152.2813833
"6_3S","Hoskin","Surface",-23.81511667,152.2813833
"6_4D","Hoskin","20",-23.81511667,152.2813833
"6_4S","Hoskin","Surface",-23.81511667,152.2813833
"7_1D","Lady Musgrave","10",-23.90085,152.3922667
"7_1S","Lady Musgrave","Surface",-23.90085,152.3922667
"7_2D","Lady Musgrave","10",-23.90085,152.3922667
"7_2S","Lady Musgrave","Surface",-23.90085,152.3922667
"7_3D","Lady Musgrave","10",-23.90085,152.3922667
"7_3S","Lady Musgrave","Surface",-23.90085,152.3922667
"7_4D","Lady Musgrave","10",-23.90085,152.3922667
"7_4S","Lady Musgrave","Surface",-23.90085,152.3922667
"8_1D","Lady Musgrave","20",-23.90083333,152.3921667
"8_1S","Lady Musgrave","Surface",-23.90083333,152.3921667
"8_2D","Lady Musgrave","20",-23.90083333,152.3921667
"8_2S","Lady Musgrave","Surface",-23.90083333,152.3921667
"8_3D","Lady Musgrave","20",-23.90083333,152.3921667
"8_3S","Lady Musgrave","Surface",-23.90083333,152.3921667
"8_4D","Lady Musgrave","20",-23.90083333,152.3921667
"8_4S","Lady Musgrave","Surface",-23.90083333,152.3921667
"9_1D","Fairfax","5",-23.86275,152.3616167
"9_1S","Fairfax","Surface",-23.86275,152.3616167
"9_2D","Fairfax","5",-23.86275,152.3616167
"9_2S","Fairfax","Surface",-23.86275,152.3616167
"9_3D","Fairfax","5",-23.86275,152.3616167
"9_3S","Fairfax","Surface",-23.86275,152.3616167
"9_4D","Fairfax","5",-23.86275,152.3616167
"9_4S","Fairfax","Surface",-23.86275,152.3616167
"EBpool",NA,NA,NA,NA
"FCpool",NA,NA,NA,NA
"NTC",NA,NA,NA,NA
