"","Site","Latitude","Longitude"
"1_1","PC_1",-31.94816667,115.11555
"1_2","PC_1",NA,NA
"1_3","PC_1",-31.94766667,115.11565
"1_4","PC_1",-31.9481,115.1154
"1_5","PC_1",NA,NA
"10_1","PC_10",-31.97048333,115.06415
"10_2","PC_10",-31.97051667,115.0641333
"10_3","PC_10",-31.97021667,115.0640333
"10_4","PC_10",-31.97021667,115.0640333
"10_5","PC_10",-31.97028333,115.0641667
"11_1","PC_11",-31.98381667,115.0308333
"11_2","PC_11",-31.98353333,115.0309167
"11_3","PC_11",-31.98351667,115.0309833
"11_4","PC_11",-31.98355,115.03095
"11_5","PC_11",-31.98338333,115.0310333
"12_1","PC_12",-31.98566667,115.0761667
"12_2","PC_12",-31.99011667,115.076
"12_3","PC_12",-31.99005,115.07615
"12_4","PC_12",-31.99011667,115.0757833
"12_5","PC_12",-31.9901,115.07625
"13_1","PC_13",-31.9121,115.0781833
"13_2","PC_13",-31.9121,115.0783333
"13_3","PC_13",-31.91201667,115.0782667
"13_4","PC_13",-31.912,115.0782167
"13_5","PC_13",-31.91196667,115.0782
"14_1","PC_14",-31.9321,115.07885
"14_2","PC_14",-31.93191667,115.0787667
"14_3","PC_14",-31.93201667,115.0787167
"14_4","PC_14",-31.93188333,115.0788333
"14_5","PC_14",-31.93188333,115.0785667
"15_1","PC_15",-31.94808333,115.0740333
"15_2","PC_15",-31.94791667,115.07385
"15_3","PC_15",-31.94791667,115.0738833
"15_4","PC_15",-31.94791667,115.0738333
"15_5","PC_15",-31.94796667,115.0738667
"16_1","PC_16",-31.94605,115.0960333
"16_2","PC_16",-31.94606667,115.0961333
"16_3","PC_16",-31.94603333,115.0960833
"16_4","PC_16",-31.94603333,115.0959167
"16_5","PC_16",-31.946,115.0960167
"17_1","PC_17",-31.93286667,115.1421667
"17_2","PC_17",-31.93281667,115.1422333
"17_3","PC_17",-31.93283333,115.14225
"17_4","PC_17",-31.93288333,115.1422833
"17_5","PC_17",-31.9328,115.1423
"17W",NA,NA,NA
"18_1","PC_18",-31.91205,115.0649333
"18_2","PC_18",-31.91208333,115.0648
"18_3","PC_18",-31.91203333,115.06495
"18_4","PC_18",-31.91205,115.0648667
"18_5","PC_18",-31.91201667,115.0649167
"19_1","PC_19",-31.91115,115.0324167
"19_2","PC_19",-31.91115,115.0324667
"19_3","PC_19",-31.9112,115.0324667
"19_4","PC_19",-31.9112,115.03245
"19_5","PC_19",-31.91118333,115.0323833
"2_1","PC_2",-31.93166667,115.1103333
"2_2","PC_2",-31.93166667,115.1103333
"2_3","PC_2",-31.932,115.1105
"2_4","PC_2",-31.93183333,115.1105
"2_5","PC_2",-31.93216667,115.1105
"20_1","PC_20",-31.94746667,115.0315
"20_2","PC_20",-31.94738333,115.0316
"20_3","PC_20",-31.94733333,115.0315167
"20_4","PC_20",-31.9473,115.0315667
"20_5","PC_20",-31.94746667,115.0315833
"3_1","PC_3",-31.92583333,115.0925
"3_2","PC_3",-31.92583333,115.0928333
"3_3","PC_3",-31.92566667,115.0926667
"3_4","PC_3",-31.92583333,115.0928333
"3_5","PC_3",-31.92566667,115.093
"4_1","PC_4",-31.91266667,115.1591667
"4_2","PC_4",-31.91283333,115.1591667
"4_3","PC_4",-31.91266667,115.1591667
"4_4","PC_4",-31.91283333,115.1598333
"4_5","PC_4",-31.913,115.1593333
"5_1","PC_5",-31.97188333,115.0952167
"5_2","PC_5",-31.9717,115.0949167
"5_3","PC_5",-31.97181667,115.0951
"5_4","PC_5",-31.97201667,115.0952
"5_5","PC_5",-31.97173333,115.0948167
"6_1","PC_6",-31.95916667,115.10935
"6_2","PC_6",-31.9586,115.1096333
"6_3","PC_6",-31.95938333,115.10985
"6_4","PC_6",-31.95916667,115.10955
"6_5","PC_6",-31.95945,115.1098833
"6W",NA,NA,NA
"7_1","PC_7",-31.99013333,115.132
"7_2","PC_7",-31.99016667,115.1169667
"7_3","PC_7",-31.9903,115.11705
"7_4","PC_7",-31.99005,115.1167833
"7_5","PC_7",-31.99005,115.1169
"8_1","PC_8",-31.96615,115.15775
"8_2","PC_8",-31.96616667,115.1576333
"8_3","PC_8",-31.96615,115.1577833
"8_4","PC_8",-31.96603333,115.1577833
"8_5","PC_8",-31.96616667,115.1575
"9_1","PC_9",-31.95893333,115.07835
"9_2","PC_9",-31.95895,115.0783167
"9_3","PC_9",-31.95916667,115.0782667
"9_4","PC_9",-31.95895,115.0783167
"9_5","PC_9",-31.95885,115.0784833
"EBPool",NA,NA,NA
"NewFCpool",NA,NA,NA
"NTC",NA,NA,NA
